Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names
"[BLASTED, MAPPED, ANNOTATED]",pak_c130_g1_i1,HFB2B_ORYSJ ame: Full=Heat stress transcription factor B-2b ame: Full=Heat stress transcription factor 2 Short=rHsf2 ame: Full=Heat stress transcription factor 21 Short= sf-21,226,5,5.14E-45,96.2,7,C:GO:0005634; C:GO:0005667; F:GO:0003700; P:GO:0045892; F:GO:0043565; P:GO:0010200; P:GO:0006355,"C:nucleus; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:negative regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:response to chitin; P:regulation of transcription, DNA-templated",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c140_g1_i1,RPC8_YEAST ame: Full=DNA-directed RNA polymerase III subunit RPC8 Short=RNA polymerase III subunit C8 ame: Full=DNA-directed RNA polymerase III 25 kDa polypeptide ame: Full=RNA polymerase III subunit C25,363,5,8.79E-22,61.6,7,F:GO:0001056; C:GO:0005813; P:GO:0006384; P:GO:0032481; C:GO:0005829; P:GO:0042797; C:GO:0005666,F:RNA polymerase III activity; C:centrosome; P:transcription initiation from RNA polymerase III promoter; P:positive regulation of type I interferon production; C:cytosol; P:tRNA transcription from RNA polymerase III promoter; C:DNA-directed RNA polymerase III complex,EC:2.7.7.6,DNA-directed RNA polymerase
"[BLASTED, MAPPED]",pak_c141_g1_i1,RIHA_KLEP3 ame: Full=Pyrimidine-specific ribonucleoside hydrolase ame: Full=Cytidine uridine-specific hydrolase,569,5,4.89E-11,40.8,12,F:GO:0016799; P:GO:0006206; C:GO:0005737; F:GO:0046872; F:GO:0005509; P:GO:0008152; F:GO:0050263; P:GO:0046133; P:GO:0015949; F:GO:0016798; F:GO:0016787; F:GO:0045437,"F:hydrolase activity, hydrolyzing N-glycosyl compounds; P:pyrimidine nucleobase metabolic process; C:cytoplasm; F:metal ion binding; F:calcium ion binding; P:metabolic process; F:ribosylpyrimidine nucleosidase activity; P:pyrimidine ribonucleoside catabolic process; P:nucleobase-containing small molecule interconversion; F:hydrolase activity, acting on glycosyl bonds; F:hydrolase activity; F:uridine nucleosidase activity",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c148_g1_i1,COX10_ARATH ame: Full=Protoheme IX mitochondrial ame: Full=Cytochrome c oxidase assembly COX10 ame: Full=Heme O synthase Flags: Precursor,226,5,2.50E-23,65,6,P:GO:0048034; F:GO:0008495; C:GO:0016021; P:GO:0045333; C:GO:0005743; C:GO:0005886,P:heme O biosynthetic process; F:protoheme IX farnesyltransferase activity; C:integral component of membrane; P:cellular respiration; C:mitochondrial inner membrane; C:plasma membrane,EC:2.5.1.29,Geranylgeranyl diphosphate synthase
"[BLASTED, MAPPED, ANNOTATED]",pak_c151_g1_i1,ETHE1_ARATH ame: Full=Persulfide dioxygenase ETHE1 mitochondrial ame: Full=Glyoxalase II Short=Glx II ame: Full=Sulfur dioxygenase ETHE1 Flags: Precursor,299,5,1.89E-54,73.2,14,P:GO:0009651; P:GO:0009793; F:GO:0047951; P:GO:0009960; C:GO:0005654; F:GO:0004416; P:GO:0070221; C:GO:0005759; F:GO:0005506; P:GO:0006749; P:GO:0019243; F:GO:0050313; P:GO:0070813; P:GO:0006090,"P:response to salt stress; P:embryo development ending in seed dormancy; F:glutathione thiolesterase activity; P:endosperm development; C:nucleoplasm; F:hydroxyacylglutathione hydrolase activity; P:sulfide oxidation, using sulfide:quinone oxidoreductase; C:mitochondrial matrix; F:iron ion binding; P:glutathione metabolic process; P:methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione; F:sulfur dioxygenase activity; P:hydrogen sulfide metabolic process; P:pyruvate metabolic process",EC:1.13.11; EC:3.1.2.7; EC:3.1.2.6; EC:1.13.11.18,Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O(2); Glutathione thiolesterase; Hydroxyacylglutathione hydrolase; Persulfide dioxygenase
"[BLASTED, MAPPED, ANNOTATED]",pak_c153_g1_i1,CH10C_ARATH ame: Full=20 kDa chloroplastic ame: Full=Chaperonin 10 Short=Ch-CPN10 Short=Cpn10 ame: Full=Chaperonin 20 ame: Full= Cpn21 Flags: Precursor,383,5,1.63E-35,75.6,16,C:GO:0009570; P:GO:1901671; C:GO:0009941; P:GO:0051085; F:GO:0051082; P:GO:0046686; P:GO:0006986; C:GO:0009535; F:GO:0005524; P:GO:0009409; F:GO:0005516; F:GO:0005507; C:GO:0005759; C:GO:0048046; F:GO:0051087; C:GO:0005829,C:chloroplast stroma; P:positive regulation of superoxide dismutase activity; C:chloroplast envelope; P:chaperone mediated protein folding requiring cofactor; F:unfolded protein binding; P:response to cadmium ion; P:response to unfolded protein; C:chloroplast thylakoid membrane; F:ATP binding; P:response to cold; F:calmodulin binding; F:copper ion binding; C:mitochondrial matrix; C:apoplast; F:chaperone binding; C:cytosol,EC:1.97.1,Other oxidoreductases
"[BLASTED, MAPPED]",pak_c158_g1_i1,GMPPA_XENTR ame: Full=Mannose-1-phosphate guanyltransferase alpha ame: Full=GDP-mannose pyrophosphorylase A ame: Full=GTP-mannose-1-phosphate guanylyltransferase alpha,451,5,8.23E-33,59.8,9,F:GO:0005525; F:GO:0000166; F:GO:0016779; C:GO:0005737; P:GO:0009298; P:GO:0009058; F:GO:0016740; F:GO:0004475; C:GO:0005575,F:GTP binding; F:nucleotide binding; F:nucleotidyltransferase activity; C:cytoplasm; P:GDP-mannose biosynthetic process; P:biosynthetic process; F:transferase activity; F:mannose-1-phosphate guanylyltransferase activity; C:cellular_component,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c159_g1_i1,PAN_SULSO ame: Full=Proteasome-activating nucleotidase Short=PAN ame: Full=Proteasomal ATPase ame: Full=Proteasome regulatory ATPase ame: Full=Proteasome regulatory particle,278,5,1.43E-10,58,8,C:GO:0005778; F:GO:0016887; P:GO:0006626; C:GO:0005856; P:GO:0030163; C:GO:0000502; C:GO:0005741; F:GO:0005488,C:peroxisomal membrane; F:ATPase activity; P:protein targeting to mitochondrion; C:cytoskeleton; P:protein catabolic process; C:proteasome complex; C:mitochondrial outer membrane; F:binding,EC:3.6.1.3; EC:3.6.1.15,Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase
"[BLASTED, MAPPED, ANNOTATED]",pak_c170_g1_i1,SCL14_ARATH ame: Full=Scarecrow 14 Short= 14 ame: Full=GRAS family 2 Short= -2,354,5,1.18E-19,73.8,9,C:GO:0005634; C:GO:0005667; F:GO:0003700; P:GO:0045893; C:GO:0005829; F:GO:0043565; P:GO:0009410; P:GO:0010200; P:GO:0006355,"C:nucleus; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:positive regulation of transcription, DNA-templated; C:cytosol; F:sequence-specific DNA binding; P:response to xenobiotic stimulus; P:response to chitin; P:regulation of transcription, DNA-templated",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c177_g1_i1,GLYT5_ARATH ame: Full=Probable glycosyltransferase At5g20260,315,5,8.02E-20,62,6,C:GO:0005802; C:GO:0005768; C:GO:0016020; F:GO:0035252; P:GO:0045489; P:GO:0010398,C:trans-Golgi network; C:endosome; C:membrane; F:UDP-xylosyltransferase activity; P:pectin biosynthetic process; P:xylogalacturonan metabolic process,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c183_g1_i1,RS8_MAIZE ame: Full=40S ribosomal S8,886,5,2.23E-107,90.8,11,P:GO:0000462; C:GO:0009507; C:GO:0009506; F:GO:0003735; C:GO:0022627; C:GO:0005618; F:GO:0003729; C:GO:0005794; C:GO:0005730; P:GO:0006414; C:GO:0005886,"P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); C:chloroplast; C:plasmodesma; F:structural constituent of ribosome; C:cytosolic small ribosomal subunit; C:cell wall; F:mRNA binding; C:Golgi apparatus; C:nucleolus; P:translational elongation; C:plasma membrane",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c192_g1_i1,ARF2A_SOLLC ame: Full=Auxin response factor 2A Short= 2A,206,5,4.21E-33,91.2,15,P:GO:0008285; P:GO:0010150; F:GO:0043565; P:GO:0006355; P:GO:0009911; P:GO:0009734; C:GO:0005634; C:GO:0005667; F:GO:0003700; F:GO:0005515; P:GO:0009737; P:GO:0045892; P:GO:0010227; P:GO:0048481; P:GO:0010047,"P:negative regulation of cell proliferation; P:leaf senescence; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:positive regulation of flower development; P:auxin-activated signaling pathway; C:nucleus; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; F:protein binding; P:response to abscisic acid; P:negative regulation of transcription, DNA-templated; P:floral organ abscission; P:plant ovule development; P:fruit dehiscence",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c194_g1_i1,RT13_ARATH ame: Full=Small ribosomal subunit mitochondrial Short=mS13 Flags: Precursor,316,5,1.61E-39,75.6,8,C:GO:0009570; F:GO:0003723; F:GO:0003735; C:GO:0009941; C:GO:0005829; P:GO:0042254; C:GO:0005763; P:GO:0006412,C:chloroplast stroma; F:RNA binding; F:structural constituent of ribosome; C:chloroplast envelope; C:cytosol; P:ribosome biogenesis; C:mitochondrial small ribosomal subunit; P:translation,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c195_g1_i1,BGL01_ARATH ame: Full=Beta-glucosidase 1 Short= 1 Flags: Precursor,336,5,8.87E-15,74,9,P:GO:0009718; P:GO:0005975; F:GO:0016758; P:GO:0043473; F:GO:0008422; C:GO:0000325; C:GO:0005576; P:GO:1901657; F:GO:0102483,"P:anthocyanin-containing compound biosynthetic process; P:carbohydrate metabolic process; F:transferase activity, transferring hexosyl groups; P:pigmentation; F:beta-glucosidase activity; C:plant-type vacuole; C:extracellular region; P:glycosyl compound metabolic process; F:scopolin beta-glucosidase activity",EC:3.2.1.21,Beta-glucosidase
"[BLASTED, MAPPED, ANNOTATED]",pak_c200_g1_i1,HMGB1_ARATH ame: Full=High mobility group B 1 ame: Full=High mobility group A Short= alpha Short=HMG alpha ame: Full=Nucleosome chromatin assembly factor group D 01 Short=Nucleosome chromatin assembly factor group D 1,625,5,2.59E-31,83,10,C:GO:0005634; F:GO:0003677; C:GO:0005667; F:GO:0003700; F:GO:0030527; C:GO:0005829; P:GO:0006333; F:GO:0003682; P:GO:0006355; C:GO:0000785,"C:nucleus; F:DNA binding; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; F:structural constituent of chromatin; C:cytosol; P:chromatin assembly or disassembly; F:chromatin binding; P:regulation of transcription, DNA-templated; C:chromatin",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c213_g1_i1,HD16N_ORYSJ ame: Full=Casein kinase 1 HD16 ame: Full=Os03g0793500 ame: Full= EARLY FLOWERING 1 ame: Full= HEADING DATE 16,281,5,1.82E-42,60.8,11,P:GO:0008360; C:GO:0005634; F:GO:0005524; F:GO:0005515; C:GO:0000329; P:GO:0016055; P:GO:0009069; F:GO:0004674; P:GO:0006897; P:GO:0018105; C:GO:0005886,P:regulation of cell shape; C:nucleus; F:ATP binding; F:protein binding; C:fungal-type vacuole membrane; P:Wnt signaling pathway; P:serine family amino acid metabolic process; F:protein serine/threonine kinase activity; P:endocytosis; P:peptidyl-serine phosphorylation; C:plasma membrane,EC:2.7.11,Transferring phosphorus-containing groups
"[BLASTED, MAPPED, ANNOTATED]",pak_c221_g1_i1,M3K4_HUMAN ame: Full=Mitogen-activated kinase kinase kinase 4 ame: Full=MAP three kinase 1 ame: Full=MAPK ERK kinase kinase 4 Short=MEK kinase 4 Short=MEKK 4,491,5,1.13E-05,67.6,20,P:GO:0000919; P:GO:0043507; P:GO:1904355; P:GO:0007178; P:GO:0009069; P:GO:0001890; C:GO:0009524; P:GO:1900745; C:GO:0005634; P:GO:0051973; P:GO:0000186; F:GO:0005515; P:GO:0019100; P:GO:0060718; P:GO:0010468; P:GO:0032212; P:GO:0010225; F:GO:0004709; P:GO:0016310; P:GO:0035556,P:cell plate assembly; P:positive regulation of JUN kinase activity; P:positive regulation of telomere capping; P:transmembrane receptor protein serine/threonine kinase signaling pathway; P:serine family amino acid metabolic process; P:placenta development; C:phragmoplast; P:positive regulation of p38MAPK cascade; C:nucleus; P:positive regulation of telomerase activity; P:activation of MAPKK activity; F:protein binding; P:male germ-line sex determination; P:chorionic trophoblast cell differentiation; P:regulation of gene expression; P:positive regulation of telomere maintenance via telomerase; P:response to UV-C; F:MAP kinase kinase kinase activity; P:phosphorylation; P:intracellular signal transduction,EC:2.7.11.25; EC:2.7.11,Mitogen-activated protein kinase kinase kinase; Transferring phosphorus-containing groups
"[BLASTED, MAPPED, ANNOTATED]",pak_c226_g1_i2,KPC1_CAEEL ame: Full= kinase C-like 1 Short=PKC ame: Full=Tetradecanoyl phorbol acetate-resistant 1,242,5,2.99E-08,61.2,25,P:GO:0090036; P:GO:0009611; P:GO:0090330; P:GO:0051092; P:GO:2000318; P:GO:0032740; P:GO:0010557; P:GO:0010975; P:GO:0050832; P:GO:2001222; P:GO:2000570; P:GO:0000226; P:GO:0009069; F:GO:0004674; F:GO:0005488; P:GO:1900744; P:GO:0046627; C:GO:0005622; P:GO:0046328; P:GO:0031328; P:GO:0070233; P:GO:0051054; P:GO:0051716; P:GO:0018105; P:GO:0032753,P:regulation of protein kinase C signaling; P:response to wounding; P:regulation of platelet aggregation; P:positive regulation of NF-kappaB transcription factor activity; P:positive regulation of T-helper 17 type immune response; P:positive regulation of interleukin-17 production; P:positive regulation of macromolecule biosynthetic process; P:regulation of neuron projection development; P:defense response to fungus; P:regulation of neuron migration; P:positive regulation of T-helper 2 cell activation; P:microtubule cytoskeleton organization; P:serine family amino acid metabolic process; F:protein serine/threonine kinase activity; F:binding; P:regulation of p38MAPK cascade; P:negative regulation of insulin receptor signaling pathway; C:intracellular; P:regulation of JNK cascade; P:positive regulation of cellular biosynthetic process; P:negative regulation of T cell apoptotic process; P:positive regulation of DNA metabolic process; P:cellular response to stimulus; P:peptidyl-serine phosphorylation; P:positive regulation of interleukin-4 production,EC:2.7.11,Transferring phosphorus-containing groups
"[BLASTED, MAPPED, ANNOTATED]",pak_c228_g1_i1,ERD2_CAEEL ame: Full=ER lumen -retaining receptor,294,5,1.37E-09,55.6,1,P:GO:0051179,P:localization,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c230_g1_i1,RUVB2_XENLA ame: Full= -like 2 ame: Full=Reptin,574,5,7.77E-76,90,45,P:GO:0035066; P:GO:0043967; P:GO:0006281; P:GO:0060420; C:GO:0035267; P:GO:0043968; P:GO:1904874; F:GO:0000979; C:GO:0000812; P:GO:0003351; P:GO:0044458; F:GO:0000980; F:GO:0005524; P:GO:0007507; P:GO:0006338; P:GO:0071392; C:GO:0070062; C:GO:0030529; P:GO:0045892; P:GO:0048565; P:GO:0032508; F:GO:0001094; P:GO:0070286; P:GO:0034644; P:GO:0071733; C:GO:0031011; P:GO:0071899; C:GO:0071339; F:GO:0031490; F:GO:0042803; P:GO:0006351; P:GO:0006310; F:GO:0051082; F:GO:0043531; P:GO:0006457; C:GO:0005657; C:GO:0097255; F:GO:0043141; P:GO:0000492; C:GO:0005737; C:GO:0016020; C:GO:0005719; C:GO:0016363; P:GO:0071169; F:GO:0051117,"P:positive regulation of histone acetylation; P:histone H4 acetylation; P:DNA repair; P:regulation of heart growth; C:NuA4 histone acetyltransferase complex; P:histone H2A acetylation; P:positive regulation of telomerase RNA localization to Cajal body; F:RNA polymerase II core promoter sequence-specific DNA binding; C:Swr1 complex; P:epithelial cilium movement; P:motile cilium assembly; F:RNA polymerase II distal enhancer sequence-specific DNA binding; F:ATP binding; P:heart development; P:chromatin remodeling; P:cellular response to estradiol stimulus; C:extracellular exosome; C:intracellular ribonucleoprotein complex; P:negative regulation of transcription, DNA-templated; P:digestive tract development; P:DNA duplex unwinding; F:TFIID-class transcription factor binding; P:axonemal dynein complex assembly; P:cellular response to UV; P:transcriptional activation by promoter-enhancer looping; C:Ino80 complex; P:negative regulation of estrogen receptor binding; C:MLL1 complex; F:chromatin DNA binding; F:protein homodimerization activity; P:transcription, DNA-templated; P:DNA recombination; F:unfolded protein binding; F:ADP binding; P:protein folding; C:replication fork; C:R2TP complex; F:ATP-dependent 5'-3' DNA helicase activity; P:box C/D snoRNP assembly; C:cytoplasm; C:membrane; C:nuclear euchromatin; C:nuclear matrix; P:establishment of protein localization to chromatin; F:ATPase binding",EC:3.6.1.3; EC:3.6.1.15,Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase
"[BLASTED, MAPPED, ANNOTATED]",pak_c231_g1_i1,KITH_ORYSJ ame: Full=Thymidine kinase,372,5,1.28E-27,77.8,15,F:GO:0042802; P:GO:0006230; P:GO:0009157; P:GO:0046104; F:GO:0004797; P:GO:0006302; F:GO:0005524; P:GO:0009409; C:GO:0009507; P:GO:0006206; F:GO:0046872; C:GO:0005739; P:GO:0071897; P:GO:0010225; P:GO:0016310,F:identical protein binding; P:TMP biosynthetic process; P:deoxyribonucleoside monophosphate biosynthetic process; P:thymidine metabolic process; F:thymidine kinase activity; P:double-strand break repair; F:ATP binding; P:response to cold; C:chloroplast; P:pyrimidine nucleobase metabolic process; F:metal ion binding; C:mitochondrion; P:DNA biosynthetic process; P:response to UV-C; P:phosphorylation,EC:2.7.1.145; EC:2.7.1.21,Deoxynucleoside kinase; Thymidine kinase
"[BLASTED, MAPPED, ANNOTATED]",pak_c234_g1_i1,PRL1_ARATH ame: Full= pleiotropic regulatory locus 1 Short= PRL1 ame: Full=MOS4-associated complex 2 Short=MAC 2,330,5,3.40E-69,84.4,22,P:GO:0009870; P:GO:0010182; C:GO:0005662; C:GO:0000974; P:GO:0042742; C:GO:0080008; P:GO:0048825; P:GO:0000398; P:GO:0009755; F:GO:0000166; P:GO:0048364; P:GO:0009749; F:GO:0005515; C:GO:0071013; P:GO:0045892; C:GO:0005737; C:GO:0071011; P:GO:0045087; P:GO:0006508; P:GO:0010204; P:GO:0050832; P:GO:0016567,"P:defense response signaling pathway, resistance gene-dependent; P:sugar mediated signaling pathway; C:DNA replication factor A complex; C:Prp19 complex; P:defense response to bacterium; C:Cul4-RING E3 ubiquitin ligase complex; P:cotyledon development; P:mRNA splicing, via spliceosome; P:hormone-mediated signaling pathway; F:nucleotide binding; P:root development; P:response to glucose; F:protein binding; C:catalytic step 2 spliceosome; P:negative regulation of transcription, DNA-templated; C:cytoplasm; C:precatalytic spliceosome; P:innate immune response; P:proteolysis; P:defense response signaling pathway, resistance gene-independent; P:defense response to fungus; P:protein ubiquitination",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c234_g1_i2,PRL1_ARATH ame: Full= pleiotropic regulatory locus 1 Short= PRL1 ame: Full=MOS4-associated complex 2 Short=MAC 2,983,5,0,81.2,21,P:GO:0009870; P:GO:0010182; C:GO:0005662; C:GO:0000974; P:GO:0042742; C:GO:0080008; P:GO:0048825; P:GO:0000398; P:GO:0009755; F:GO:0000166; P:GO:0048364; P:GO:0009749; F:GO:0005515; C:GO:0071013; P:GO:0045892; C:GO:0071011; P:GO:0045087; P:GO:0006508; P:GO:0010204; P:GO:0050832; P:GO:0016567,"P:defense response signaling pathway, resistance gene-dependent; P:sugar mediated signaling pathway; C:DNA replication factor A complex; C:Prp19 complex; P:defense response to bacterium; C:Cul4-RING E3 ubiquitin ligase complex; P:cotyledon development; P:mRNA splicing, via spliceosome; P:hormone-mediated signaling pathway; F:nucleotide binding; P:root development; P:response to glucose; F:protein binding; C:catalytic step 2 spliceosome; P:negative regulation of transcription, DNA-templated; C:precatalytic spliceosome; P:innate immune response; P:proteolysis; P:defense response signaling pathway, resistance gene-independent; P:defense response to fungus; P:protein ubiquitination",,
"[BLASTED, MAPPED, ANNOTATED]",pak_c257_g1_i1,OTU1_DANRE ame: Full=Ubiquitin thioesterase OTU1,836,5,3.92E-64,65,14,F:GO:1904265; P:GO:0035871; F:GO:1990380; C:GO:0044424; F:GO:0061578; F:GO:0004843; P:GO:1990167; P:GO:1990168; F:GO:0031625; P:GO:0030968; P:GO:0030433; P:GO:0035523; P:GO:0070536; P:GO:0071108,"F:ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol; P:protein K11-linked deubiquitination; F:Lys48-specific deubiquitinase activity; C:intracellular part; F:Lys63-specific deubiquitinase activity; F:thiol-dependent ubiquitin-specific protease activity; P:protein K27-linked deubiquitination; P:protein K33-linked deubiquitination; F:ubiquitin protein ligase binding; P:endoplasmic reticulum unfolded protein response; P:ER-associated ubiquitin-dependent protein catabolic process; P:protein K29-linked deubiquitination; P:protein K63-linked deubiquitination; P:protein K48-linked deubiquitination",EC:3.4.19.12,Ubiquitinyl hydrolase 1
